State,School type,Grade,Which LLMs have you tried?,Which do you use use frequently?,How accessible are they for you?,What subjects have you used them for?,Which have you used LLMs for?,What have LLMs helped?,How often?,Does the version you use cost money?,"If paid, is it worth it?",AI ethics concern,Privacy concern,Strict school policies,Potential features and improvements,Has LLMs improved school work?
Missouri,Public,11,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),"History, English","Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",4-5 times per week,No,,2,3,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, Protecting privacy and security better",
Wisconsin,Public,8,None,,Always (i.e. you own a personal device),,,,,,,3,2,3,None,
Wisconsin,Public,10,None,,"Other (key in), haven’t used them",,,,,,,4,2,4,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing",
New York,Public,8,None,,Never,,,,,,,3,3,2,"Work with pictures, sound, and videos, More correct answers",
Utah,Public,10,None,,Always (i.e. you own a personal device),,,,,,,3,5,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More natural at conversing",
Utah,Public,9,None,,Never,,,,,,,4,3,3,"Better at understanding complex questions, Understanding emotions",
New York,Public,8,None,,Always (i.e. you own a personal device),,,,,,,5,4,4,"Better at understanding complex questions, More correct answers",
Connecticut,Public,12,ChatGPT,None,Always (i.e. you own a personal device),"Math, Science, History, English, Other Language","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas","Writing essays, emails, etc., Science or math homework help",Rarely,No,,3,2,5,"More correct answers, Better explanations, Protecting privacy and security better",
Utah,Public,12,"ChatGPT, Microsoft Bing",None,Rarely,English,"Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",Rarely,No,,3,3,3,Protecting privacy and security better,
California,Public,9,ChatGPT,ChatGPT,Daily (i.e. accessible only at school),English,"Writing essays, emails, etc., Project ideas","Writing essays, emails, etc., Project ideas",2-3 times per week,Yes,5,1,2,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
Massachusetts,Public,10,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),"Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Coding questions, Project ideas","Writing essays, emails, etc., Science or math homework help, Coding questions, Project ideas",2-3 times per week,No,,1,1,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, More natural at conversing",
Washington,Public,9,"ChatGPT, Google Gemini/Bard, Microsoft Bing","ChatGPT, Microsoft Bing",Daily (i.e. accessible only at school),"Math, English, Other Language","Writing essays, emails, etc., Science or math homework help, Summarizing text, Translating languages",Translating languages,Once a week,No,,3,4,3,Understanding emotions,
New York,Public,8,None,,Never,,,,,,,3,4,2,"Work with pictures, sound, and videos, More natural at conversing, Understanding emotions",
California,Public,9,None,,Always (i.e. you own a personal device),,,,,,,1,3,2,More natural at conversing,
New York,Public,12,ChatGPT,ChatGPT,Rarely,English,"Writing essays, emails, etc., Project ideas","Writing essays, emails, etc., Summarizing text, Project ideas",Once a week,No,,3,4,5,None,
Minnesota,Public,11,ChatGPT,None,Always (i.e. you own a personal device),English,Summarizing text,None,Rarely,No,,3,4,4,"Better explanations, More natural at conversing",
Michigan,Public,11,ChatGPT,None,Always (i.e. you own a personal device),"Math, English","Writing essays, emails, etc., Science or math homework help","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages",Rarely,No,,3,4,2,"Better at understanding complex questions, More correct answers, Better explanations, Understanding emotions, Protecting privacy and security better",
New York,Public,10,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc., Science or math homework help, Summarizing text",4-5 times per week,No,,3,4,5,More correct answers,
Nevada,Public,12,"ChatGPT, Google Gemini/Bard, Microsoft Bing",Microsoft Bing,Daily (i.e. accessible only at school),"History, English",Translating languages,Translating languages,2-3 times per week,Yes,3,2,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, Better explanations, More natural at conversing",
Missouri,Public,11,"ChatGPT, Google Gemini/Bard, Claude","ChatGPT, Microsoft Bing, Claude",Daily (i.e. accessible only at school),"Math, Science, Computer Science, History, English, Other Language","Writing essays, emails, etc., Science or math homework help, Coding questions, Translating languages","Science or math homework help, Coding questions, Creating study plans, Translating languages",4-5 times per week,Yes,4,3,5,4,"Work with pictures, sound, and videos, More correct answers, Better explanations",
Kansas,Public,10,ChatGPT,None,Always (i.e. you own a personal device),"Math, English","Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",2-3 times per week,No,,2,2,3,Better at understanding complex questions,
Arizona,Public,10,ChatGPT,None,Never,None,None,None,Rarely,No,,4,5,5,"Work with pictures, sound, and videos, Better explanations, Understanding emotions, Protecting privacy and security better",
California,Charter,8,None,,Always (i.e. you own a personal device),,,,,,,1,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
North Carolina,Homeschooled,6,None,,Rarely,,,,,,,3,5,1,None,
California,Public,11,Microsoft Bing,Microsoft Bing,Always (i.e. you own a personal device),History,"Writing essays, emails, etc., Science or math homework help, Translating languages","Summarizing text, Translating languages",Rarely,No,,3,4,2,Understanding emotions,
New Jersey,Public,6,None,,Rarely,,,,,,,4,5,5,None,
Minnesota,Public,7,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),Computer Science,"Writing essays, emails, etc.",Project ideas,2-3 times per week,Yes,2,3,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, Protecting privacy and security better",
Illinois,Private,7,ChatGPT,ChatGPT,Always (i.e. you own a personal device),None,Coding questions,Coding questions,Once a week,No,,2,3,4,None,
Kentucky,Homeschooled,12,ChatGPT,"ChatGPT, Microsoft Bing",Daily (i.e. accessible only at school),"Math, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Creating study plans","Writing essays, emails, etc., Science or math homework help, Summarizing text",2-3 times per week,No,,3,4,4,Understanding emotions,
Illinois,Public,8,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),Computer Science,Coding questions,Coding questions,2-3 times per week,No,,4,5,5,"Better at understanding complex questions, Work with pictures, sound, and videos",
Kansas,Public,8,ChatGPT,ChatGPT,Always (i.e. you own a personal device),English,"Writing essays, emails, etc.","Writing essays, emails, etc.",Once a week,No,,2,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More natural at conversing",
Minnesota,Public,10,ChatGPT,ChatGPT,Always (i.e. you own a personal device),English,"Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",2-3 times per week,No,,4,4,5,Protecting privacy and security better,
Colorado,Public,10,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,3,4,2,Better at understanding complex questions,
Nebraska,Public,9,None,,Never,,,,,,,1,3,4,Better at understanding complex questions,
Illinois,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Creating study plans","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Creating study plans",Rarely,No,,3,3,4,"Better at understanding complex questions, More correct answers, Better explanations",
California,Public,11,ChatGPT,None,Daily (i.e. accessible only at school),"Math, Fun",Fun,Project ideas,Rarely,Yes,3,4,4,5,"Work with pictures, sound, and videos, More correct answers, Better explanations, Protecting privacy and security better",
Oregon,Public,10,"ChatGPT, Microsoft Bing",None,Always (i.e. you own a personal device),None,Summarizing text,Summarizing text,Rarely,No,,2,1,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Michigan,Public,11,ChatGPT,"ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"History, Other Language",Summarizing text,Project ideas,Once a week,No,,1,5,4,"Work with pictures, sound, and videos, Better explanations, Protecting privacy and security better",
Minnesota,Public,9,None,,Daily (i.e. accessible only at school),,,,,,,1,1,2,Better explanations,
Pennsylvania,Public,8,"ChatGPT, Microsoft Bing","ChatGPT, Microsoft Bing",Daily (i.e. accessible only at school),"Science, History","Science or math homework help, Citations","Science or math homework help, Citations",Rarely,No,,3,3,3,Better explanations,
California,Public,11,"ChatGPT, Microsoft Bing",Microsoft Bing,Daily (i.e. accessible only at school),Computer Science,Project ideas,Project ideas,2-3 times per week,No,,4,2,3,Better at understanding complex questions,
Alabama,Public,12,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,3,2,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More natural at conversing, Understanding emotions",
Missouri,Public,11,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions",Daily,No,,3,2,4,"More correct answers, Protecting privacy and security better",
New Mexico,Public,11,"ChatGPT, Microsoft Bing","ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"Math, Science, History","Science or math homework help, Project ideas, Translating languages","Science or math homework help, Project ideas",4-5 times per week,No,,4,3,5,"Work with pictures, sound, and videos, Better explanations",
Colorado,Public,11,ChatGPT,ChatGPT,Always (i.e. you own a personal device),English,Summarizing text,"Science or math homework help, Summarizing text",4-5 times per week,No,,2,3,2,Better at understanding complex questions,
Utah,Public,9,ChatGPT,None,Daily (i.e. accessible only at school),Math,Science or math homework help,"Writing essays, emails, etc., Science or math homework help",Rarely,No,,3,4,2,"Better at understanding complex questions, More correct answers, Better explanations, Protecting privacy and security better",
New York,Public,10,"ChatGPT, Google Gemini/Bard, Microsoft Bing, Large Language Model Meta AI (Llama), Claude",ChatGPT,Always (i.e. you own a personal device),"Math, Science, Computer Science, History, English, Other Language","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Translating languages",Daily,Yes,5,1,1,5,"Work with pictures, sound, and videos, More correct answers, Better explanations",
Kentucky,Public,10,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, English, Other Language","Writing essays, emails, etc., Science or math homework help","Writing essays, emails, etc.",Daily,No,,1,1,1,"Better at understanding complex questions, More correct answers",
Alabama,Public,10,None,,Always (i.e. you own a personal device),,,,,,,3,5,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing",
South Carolina,Public,11,"Google Gemini/Bard, Microsoft Bing",Microsoft Bing,Weekly (i.e. accessible at public places like libraries),"Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Project ideas, Creating study plans","Writing essays, emails, etc., Summarizing text, Project ideas, Creating study plans",2-3 times per week,No,,3,5,4,"More correct answers, Better explanations",
Georgia,Public,11,ChatGPT,None,Daily (i.e. accessible only at school),"Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc., Science or math homework help, Summarizing text",Rarely,No,,3,3,4,None,
Oklahoma,Public,11,"ChatGPT, Google Gemini/Bard","ChatGPT, Google Gemini/Bard",Always (i.e. you own a personal device),"Math, Science, History, English, Other Language","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans, Translating languages",Daily,No,,4,1,5,"Better at understanding complex questions, Work with pictures, sound, and videos, Better explanations, Protecting privacy and security better",
South Carolina,Public,12,ChatGPT,ChatGPT,Daily (i.e. accessible only at school),English,"Writing essays, emails, etc.","Writing essays, emails, etc.",4-5 times per week,No,,2,5,4,"Better at understanding complex questions, Better explanations, More natural at conversing, Understanding emotions",
Maryland,Public,7,Microsoft Bing,None,Daily (i.e. accessible only at school),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages",2-3 times per week,No,,4,3,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
California,Public,8,Google Gemini/Bard,ChatGPT,Weekly (i.e. accessible at public places like libraries),Computer Science,Summarizing text,Science or math homework help,Daily,No,,3,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Ohio,Public,9,None,,Daily (i.e. accessible only at school),,,,,,,1,4,1,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Florida,Charter,10,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),None,"Writing essays, emails, etc., Project ideas","Writing essays, emails, etc., Project ideas",2-3 times per week,No,,5,4,5,None,
Arizona,Public,12,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,3,5,4,"More correct answers, Protecting privacy and security better",
Kentucky,Public,8,ChatGPT,None,Always (i.e. you own a personal device),English,"Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",Rarely,No,,2,3,3,"Work with pictures, sound, and videos, More correct answers, Better explanations",
Louisiana,Public,12,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),"English, Other Language","Writing essays, emails, etc., Summarizing text, Creating study plans","Writing essays, emails, etc., Summarizing text, Creating study plans",Once a week,No,,1,1,3,"Better at understanding complex questions, More correct answers, Better explanations",
Washington D.C.,Charter,11,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"History, English","Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",Once a week,No,,1,3,5,"Better explanations, More natural at conversing",
Texas,Public,11,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Project ideas, Creating study plans","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages",4-5 times per week,Yes,5,4,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
California,Homeschooled,12,None,,Daily (i.e. accessible only at school),,,,,,,5,4,1,"Work with pictures, sound, and videos, More natural at conversing, Understanding emotions",
Oklahoma,Homeschooled,8,"ChatGPT, Microsoft Bing, Large Language Model Meta AI (Llama)","ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"Math, Science, Other Language",Coding questions,Coding questions,Daily,No,,3,1,5,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing, Understanding emotions",
North Carolina,Homeschooled,11,"ChatGPT, Microsoft Bing, Large Language Model Meta AI (Llama), Claude, Copilot",Copilot,Always (i.e. you own a personal device),Coding,"Coding questions, Coding my game",Coding questions,Daily,No,,2,3,1,None,
Tennessee,Public,10,"Microsoft Bing, Large Language Model Meta AI (Llama)","Microsoft Bing, Large Language Model Meta AI (Llama)",Daily (i.e. accessible only at school),Other Language,"Writing essays, emails, etc., Project ideas, Translating languages","Writing essays, emails, etc., Summarizing text, Project ideas, Creating study plans, Translating languages",Once a week,No,,3,4,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More natural at conversing",
Virginia,Public,8,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,1,5,3,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing",
Tennessee,Public,8,C.,None,Always (i.e. you own a personal device),None,None,None,Rarely,No,,3,4,3,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Maryland,Public,8,ChatGPT,"ChatGPT, Google Gemini/Bard",Always (i.e. you own a personal device),Other Language,Project ideas,Project ideas,Rarely,No,,2,5,5,"Better at understanding complex questions, More correct answers",
Georgia,Public,10,None,,Rarely,,,,,,,3,5,3,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing, Understanding emotions",
Alabama,Homeschooled,9,None,,Always (i.e. you own a personal device),,,,,,,3,4,1,More natural at conversing,
Alabama,Public,9,"Google Gemini/Bard, Microsoft Bing",Google Gemini/Bard,Daily (i.e. accessible only at school),"Math, Science, History, English","Science or math homework help, Coding questions, Creating study plans","Science or math homework help, Summarizing text, Coding questions",4-5 times per week,Yes,3,4,3,4,"Work with pictures, sound, and videos",
Oklahoma,Public,10,"ChatGPT, Microsoft Bing","ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"Science, History, English","Writing essays, emails, etc., Summarizing text, Project ideas, Creating study plans","Writing essays, emails, etc., Project ideas",Once a week,No,,5,3,1,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, Understanding emotions",
Texas,Private,11,None,,Always (i.e. you own a personal device),,,,,,,2,2,3,"Work with pictures, sound, and videos, Better explanations, Protecting privacy and security better",
West Virginia,Public,8,None,,Never,,,,,,,5,5,5,"Work with pictures, sound, and videos, More correct answers, Better explanations",
Texas,Public,9,None,,Always (i.e. you own a personal device),,,,,,,1,5,1,"Better at understanding complex questions, Better explanations, More natural at conversing, Understanding emotions",
Ohio,Public,10,None,,Never,,,,,,,1,5,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Alabama,Public,10,None,,Never,,,,,,,3,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Louisiana,Private,7,None,,Rarely,,,,,,,2,4,4,Understanding emotions,
Texas,Public,7,"ChatGPT, Google Gemini/Bard, Microsoft Bing, Large Language Model Meta AI (Llama), Claude, Character.ai",Character.ai,Always (i.e. you own a personal device),For entertainment,None,None,Rarely,No,,3,5,2,None,
Mississippi,Public,11,None,,Always (i.e. you own a personal device),,,,,,,3,5,5,So I don’t have to do any work,
Oklahoma,Public,8,ChatGPT,ChatGPT,Weekly (i.e. accessible at public places like libraries),History,"Summarizing text, Project ideas",Project ideas,2-3 times per week,No,,3,1,3,None,
Mississippi,Public,7,"ChatGPT, Microsoft Bing","ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"Math, English, Work","Science or math homework help, Coding questions, Project ideas, Creating study plans","Writing essays, emails, etc., Coding questions, Creating study plans",Daily,No,,1,3,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
Virginia,Public,10,None,,Always (i.e. you own a personal device),,,,,,,1,3,4,"More correct answers, Better explanations",
